PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,close,open,volume,high,low
1,0,3,"Braund, Mr. Owen Harris",male,22,1,0,A/5 21171,7.25,,S,173.05,173.01,9112378,173.17,172.06
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38,1,0,PC 17599,71.2833,C85,C,172.96,173.76,11179730,174,171.75
3,1,3,"Heikkinen, Miss. Laina",female,26,0,0,STON/O2. 3101282,7.925,,S,173.51,172.4,12353760,173.89,172.2
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35,1,0,113803,53.1,C123,S,170.95,173.09,10985350,173.49,170.8
5,0,3,"Allen, Mr. William Henry",male,35,0,0,373450,8.05,,S,173.21,171.94,18039640,173.3067,170.27
6,0,3,"Moran, Mr. James",male,,0,0,330877,8.4583,,Q,172.09,170.91,13886740,172.48,169.57
7,0,1,"McCarthy, Mr. Timothy J",male,54,0,0,17463,51.8625,E46,S,170.72,171.27,13214940,172.3875,169.55
8,0,3,"Palsson, Master. Gosta Leonard",male,2,3,1,349909,21.075,,S,172.02,172.4,11663360,172.915,171.31
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27,0,2,347742,11.1333,,S,171.97,170.4,17216280,172.145,170.06
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,14,1,0,237736,30.0708,,C,169.92,168.17,11117630,170.18,167.63
11,1,3,"Sandstrom, Miss. Marguerite Rut",female,4,1,1,PP 9549,16.7,G6,S,168.05,165.25,11111780,168.425,165
12,1,1,"Bonnell, Miss. Elizabeth",female,58,0,0,113783,26.55,C103,S,167.24,166.91,8477431,167.7,166.33
13,0,3,"Saundercock, Mr. William Henry",male,20,0,0,A/5. 2151,8.05,,S,166.32,167.86,12589850,168.38,166.18
14,0,3,"Andersson, Mr. Anders Johan",male,39,1,5,347082,31.275,,S,167.74,168.88,14015950,169.29,166.41
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,14,0,0,350406,7.8542,,S,168.71,168.84,9838383,169.36,168.2
